adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/eQt9Kjwt2d0UBhkFL9ZEgeVoMj8.jpg,[99],844721,en,Movie Hoarders: From VHS to DVD and Beyond!,"Filmmakers and collectors lift the curtain on their manic media obsession that is not only a huge part of their lives, but the lifeblood of their existence!",3.678,/x8gBlCmy873iJwaBDPtrzkO6HhR.jpg,2021-07-13,Movie Hoarders: From VHS to DVD and Beyond!,False,4.0,1
False,,[],643448,en,"Sex, Sin & 69","An historical, retrospective film about the 1969 legislation to ‘decriminalize’ homosexuality.",3.678,/mM9vhMrFG7DKcOMy260hUcDA4Xz.jpg,2019-06-27,"Sex, Sin & 69",False,6.0,4
False,/vR1UJvNwPA8KlocLP33woYtjvaW.jpg,"[10749, 80, 18]",365956,en,Heartlock,"When a female guard becomes a prisoner of his mind, a male inmate struggles to keep the truth from escaping.",3.678,/3tzTsZgJT6os0mV5DwkCgC0D2x.jpg,2018-07-24,Heartlock,False,5.5,4
False,,"[18, 27, 53]",453203,en,Tilt,"All seems normal with Joseph and Joanne. Joanne is pregnant with their first child. Life in their little urban house is cozy and familiar. But something is off about Joseph. He doesn’t seem excited about the baby. Work on his documentary is becoming increasingly untethered. As Joseph struggles to maintain the routines of his domestic life, his mask begins to slip. Late at night, while Joanne thinks he is working, Joseph prowls the streets of Los Angeles, deliberately courting danger. Joanne is growing worried about Joseph’s odd behavior. But not as worried as she should be.",3.677,/aW0VILEFPeSeuSgQlRgO7Ooqdwn.jpg,2017-04-22,Tilt,False,6.0,15
False,/tvQsbQTbpwKWGtRQtcs0F1hmbrM.jpg,[53],964626,en,7th Secret,"Wealth, beauty, love...the young wife of a powerful attorney seems to have it all until a mysterious man offers her a life of forbidden pleasures. Guided by the mistresses of his secret club, she must choose to either resist and run or give in to her submissive side to fulfill her wildest fantasies and risk her perfect life. What happens when we give into our secret desires?",3.676,/jWLLfBMW0Z2B2JfCsp1eKObFKFb.jpg,2022-04-18,7th Secret,False,10.0,1
False,/jijcBu4uJuJ2K2PetmMkkDsf7t2.jpg,"[27, 18]",977994,en,The Blackwell Ghost 6,"A filmmaker attempts to capture paranormal events on camera all while trying to protect his children from the ghost that haunts their house. This is the 6th installment of ""The Blackwell Ghost"" series.",3.675,/bBYSoL1JnA53QRhvUKhMoxTTWp9.jpg,2022-05-20,The Blackwell Ghost 6,False,3.0,1
False,/cKMPyDKXTfZONVUILSLjcoDRv81.jpg,"[10770, 35, 10749]",874260,en,A Kiss Before Christmas,"Ethan, always the nice guy, wakes up in a new reality at Christmas. Initially, he is enthralled with his new life but soon realizes that it's not what he thought it would be.",3.675,/ma8NZSDDx7e7BnYS9Rca3oDknOd.jpg,2021-11-21,A Kiss Before Christmas,False,6.3,16
False,/65SXDQ2XAUqFs1TKiEi8cqRwfh6.jpg,"[10751, 18, 10402]",570556,en,Buttons,"During a time of robber barons, child labor, and rising industry, two orphan girls get a little help from their unexpected guardian angels who turn the tide of events and change their lives forever.",3.675,/A2IyG5mLsgdBDZq1AHGOQ1i1KUF.jpg,2018-12-08,Buttons,False,7.1,10
False,,[99],438517,en,G-Funk,"G-Funk is the untold story of three childhood friends from East Long Beach who helped commercialize hip hop by developing a sophisticated and melodic new approach – merging Gangsta Rap with elements of Motown, Funk, and R&B.",3.674,/8mmWZvEwqspYpr6f52mvaXgoFFo.jpg,2017-03-10,G-Funk,False,6.4,23
False,/duh1mdSGoCoQijYe24iGcTAnNYn.jpg,"[10770, 9648]",910773,en,"Cut, Color, Murder","When a beauty pageant creator is found dead, a savvy hairdresser works with a detective and risks everything to clear the names of those she loves.",3.673,/c9PL2RIpitSRtxG8Evp8gpiH4iz.jpg,2022-02-06,"Cut, Color, Murder",False,6.0,7
False,/u6kS9X8dYGp0UcnqijOuvOX9f1l.jpg,"[10770, 10402]",485517,en,A Christmas Story Live!,"A live broadcast of the Broadway hit ""A Christmas Story: The Musical"" in which Ralphie wishes for nothing more than a Red Rider BB Gun for Christmas.",3.673,/du010f2eoKOXqZ8Uo1h5zlke6Sf.jpg,2017-12-17,A Christmas Story Live!,False,4.9,31
False,/z69VfXdDATalWAPOhfvM6wvDfxf.jpg,"[99, 10402]",445065,en,Eric Clapton: Life in 12 Bars,An unflinching and deeply personal journey into the life and work of guitarist Eric Clapton told through his own words and songs.,3.668,/9LWL1rf6q4O2KdupubePnrgCedp.jpg,2018-03-30,Eric Clapton: Life in 12 Bars,False,7.5,29
False,/61zbMEyWXrdn5ANEK8jN5lege8e.jpg,[99],727705,en,All In: The Fight for Democracy,"Examines the often overlooked, yet insidious issue of voter suppression in the United States in anticipation of the 2020 presidential election. With the perspective and expertise of Stacey Abrams, the former Minority Leader of the Georgia House of Representatives, the film offers an insider’s look into laws and barriers to voting that most people don’t even know is a threat to their basic rights as citizens of the United States.",3.667,/17nj0QAJy3xqVZawSj0sxpCUDVN.jpg,2020-09-09,All In: The Fight for Democracy,False,7.6,16
False,/2wEvjbHO878s6AfSnvrZpuOutfL.jpg,[27],780268,en,Apex Predators,The bodies of beach goers begin washing ashore during the grand opening of a new resort with dire results.,3.666,/mLOJB8OvFdA3iUkcvcntprj49Qh.jpg,2021-05-11,Apex Predators,False,3.7,3
False,/sdWSu8uZUoYTS6IEWmt9QCAA0qz.jpg,[99],682753,en,My Darling Vivian,"The story of Vivian Liberto, Johnny Cash's first wife and the mother of his four daughters. Includes never-before-seen footage and photographs of Johnny Cash and Rosanne Cash, as well as footage featuring Reese Witherspoon, Joaquin Phoenix, Tim Robbins, Whoopi Goldberg, John C. Reilly and many more.",3.665,/2SwO6CFL67JaeoVYkJwo5zWKlPZ.jpg,2020-04-27,My Darling Vivian,False,6.3,4
False,/AgoM7dPsDNSlzTUZw7yP6brQR8n.jpg,"[53, 9648, 80]",655977,en,The Host,"A chance opportunity arises for Robert Atkinson, a London banker who risks his bank's money to leave the mundane behind and start a new life. To take advantage, he unwittingly signs up with a Chinese cartel to transport a briefcase to Amsterdam. But all is not as it seems in a city veiled by dark secrets. Fuelled by power players, drugs, seduction and violence, Robert awaits his turn in a deadly game of choice and consequence.",3.665,/c8NBk0FsyhePuFvHmA1XP1XrHrI.jpg,2020-01-17,The Host,False,5.8,13
False,/2vXMaWOmB3UoJ3OB1iC019LAxbb.jpg,[99],624674,en,Own The Sky,"Self-flight heroes Nelson Tyler & Bill Suitor, join forces with rookie David Mayman on his gravity defying quest to build & fly the world's first Jet Pack.",3.664,/8IXFAwqlJ0WU0Tj5yocXmxkPj1W.jpg,2019-10-17,Own The Sky,False,0.0,0
